game_pk,game_date,index,startTime,endTime,isPitch,type,playId,pitchNumber,details.description,details.event,details.awayScore,details.homeScore,details.isScoringPlay,details.hasReview,details.code,details.ballColor,details.isInPlay,details.isStrike,details.isBall,details.call.code,details.call.description,count.balls.start,count.strikes.start,count.outs.start,player.id,player.link,pitchData.strikeZoneTop,pitchData.strikeZoneBottom,details.fromCatcher,pitchData.coordinates.x,pitchData.coordinates.y,hitData.trajectory,hitData.hardness,hitData.location,hitData.coordinates.coordX,hitData.coordinates.coordY,actionPlayId,details.eventType,details.runnerGoing,position.code,position.name,position.type,position.abbreviation,battingOrder,atBatIndex,result.type,result.event,result.eventType,result.description,result.rbi,result.awayScore,result.homeScore,about.atBatIndex,about.halfInning,about.inning,about.startTime,about.endTime,about.isComplete,about.isScoringPlay,about.hasReview,about.hasOut,about.captivatingIndex,count.balls.end,count.strikes.end,count.outs.end,matchup.batter.id,matchup.batter.fullName,matchup.batter.link,matchup.batSide.code,matchup.batSide.description,matchup.pitcher.id,matchup.pitcher.fullName,matchup.pitcher.link,matchup.pitchHand.code,matchup.pitchHand.description,matchup.splits.batter,matchup.splits.pitcher,matchup.splits.menOnBase,batted.ball.result,home_team,home_level_id,home_level_name,home_parentOrg_id,home_parentOrg_name,home_league_id,home_league_name,away_team,away_level_id,away_level_name,away_parentOrg_id,away_parentOrg_name,away_league_id,away_league_name,batting_team,fielding_team,last.pitch.of.ab,pfxId,details.trailColor,details.type.code,details.type.description,pitchData.startSpeed,pitchData.endSpeed,pitchData.zone,pitchData.typeConfidence,pitchData.plateTime,pitchData.extension,pitchData.coordinates.aY,pitchData.coordinates.aZ,pitchData.coordinates.pfxX,pitchData.coordinates.pfxZ,pitchData.coordinates.pX,pitchData.coordinates.pZ,pitchData.coordinates.vX0,pitchData.coordinates.vY0,pitchData.coordinates.vZ0,pitchData.coordinates.x0,pitchData.coordinates.y0,pitchData.coordinates.z0,pitchData.coordinates.aX,pitchData.breaks.breakAngle,pitchData.breaks.breakLength,pitchData.breaks.breakY,pitchData.breaks.spinRate,pitchData.breaks.spinDirection,hitData.launchSpeed,hitData.launchAngle,hitData.totalDistance,injuryType,umpire.id,umpire.link,details.isOut,pitchData.strikeZoneWidth,pitchData.strikeZoneDepth,pitchData.breaks.breakVertical,pitchData.breaks.breakVerticalInduced,pitchData.breaks.breakHorizontal,isSubstitution,isBaseRunningPlay,result.isOut,about.isTopInning,matchup.postOnFirst.id,matchup.postOnFirst.fullName,matchup.postOnFirst.link,matchup.postOnThird.id,matchup.postOnThird.fullName,matchup.postOnThird.link,matchup.postOnSecond.id,matchup.postOnSecond.fullName,matchup.postOnSecond.link
788107,2026-03-08,1,2026-03-08T02:45:44.382Z,2026-03-08T02:45:53.506Z,TRUE,pitch,a1ea1538-60e7-377e-970d-22bfdd0da752,2,"In play, out(s)",NA,NA,NA,NA,FALSE,X,"rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,X,"In play, out(s)",0,1,2,NA,NA,3.321,1.676,NA,98.4,157.25,popup,medium,4,157.7,145.36,NA,NA,NA,NA,NA,NA,NA,NA,77,atBat,Pop Out,field_out,Matt Mervis pops out to second baseman Gleyber Torres.,0,3,11,77,top,9,2026-03-08T02:45:23.155Z,2026-03-08T02:45:53.506Z,TRUE,FALSE,FALSE,TRUE,0,0,1,3,670223,Matt Mervis,/api/v1/people/670223,L,Left,683627,Anthony Molina,/api/v1/people/683627,R,Right,vs_RHP,vs_LHB,Empty,NA,Venezuela,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Israel,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Israel,Venezuela,true,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,97.6,88.1,3,0.96,0.3883,6.136,35.8332,-9.4183,-5.6921,11.3242,0.4881,3.0197,7.5608,-141.6764,-6.6542,-1.4901,50.0037,6.0181,-11.4396,40.8,2.4,24,2244,208,83,63,161,NA,NA,NA,TRUE,17,8.5,-10,19.1,8.5,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788107,2026-03-08,0,2026-03-08T02:45:25.278Z,2026-03-08T02:45:29.588Z,TRUE,pitch,453c5655-cb38-3c1b-a3e9-58b37ba30417,1,Swinging Strike (Blocked),NA,NA,NA,NA,FALSE,W,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,W,Swinging Strike (Blocked),0,1,2,NA,NA,3.321,1.676,NA,124.88,221.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,atBat,Pop Out,field_out,Matt Mervis pops out to second baseman Gleyber Torres.,0,3,11,77,top,9,2026-03-08T02:45:23.155Z,2026-03-08T02:45:53.506Z,TRUE,FALSE,FALSE,TRUE,0,0,1,3,670223,Matt Mervis,/api/v1/people/670223,L,Left,683627,Anthony Molina,/api/v1/people/683627,R,Right,vs_RHP,vs_LHB,Empty,NA,Venezuela,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Israel,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Israel,Venezuela,false,NA,"rgba(0, 85, 254, 1.0)",CH,Changeup,90,81.5,13,0.85,0.422,6.4035,31.1957,-20.3509,-11.0357,6.9503,-0.2066,0.6545,7.3838,-130.5189,-8.7156,-1.6596,50.0007,5.609,-18.7609,37.2,7.2,24,2006,230,NA,NA,NA,NA,NA,NA,FALSE,17,8.5,-23.9,10.6,18,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788107,2026-03-08,4,2026-03-08T02:44:58.525Z,2026-03-08T02:45:04.061Z,TRUE,pitch,1d3c8de8-b6b7-3cdf-b1fb-b543ba91d8de,5,Swinging Strike,NA,NA,NA,NA,FALSE,S,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,S,Swinging Strike,1,3,1,NA,NA,3.073,1.551,NA,151.56,211.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,atBat,Strikeout,strikeout,Garrett Stubbs strikes out swinging.,0,3,11,76,top,9,2026-03-08T02:43:32.140Z,2026-03-08T02:45:04.061Z,TRUE,FALSE,FALSE,TRUE,14,1,3,2,596117,Garrett Stubbs,/api/v1/people/596117,L,Left,683627,Anthony Molina,/api/v1/people/683627,R,Right,vs_RHP,vs_LHB,RISP,NA,Venezuela,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Israel,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Israel,Venezuela,true,NA,"rgba(0, 85, 254, 1.0)",CH,Changeup,89,80.6,13,0.89,0.4263,6.2729,30.5538,-22.4489,-11.8523,5.8353,-0.9066,1.0271,6.1827,-129.2066,-7.0979,-1.8091,50.0036,5.573,-19.7503,37.2,7.2,24,1915,228,NA,NA,NA,NA,NA,NA,TRUE,17,8.5,-26.2,8.9,19.8,NA,NA,TRUE,TRUE,804241,Zach Levenson,/api/v1/people/804241,NA,NA,NA,687462,Spencer Horwitz,/api/v1/people/687462
788107,2026-03-08,3,2026-03-08T02:44:31.959Z,2026-03-08T02:44:36.110Z,TRUE,pitch,c6689660-5f99-3bf5-9201-fd6a7711bbb5,4,Foul,NA,NA,NA,NA,FALSE,F,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,F,Foul,1,2,1,NA,NA,3.073,1.551,NA,111.08,184.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,atBat,Strikeout,strikeout,Garrett Stubbs strikes out swinging.,0,3,11,76,top,9,2026-03-08T02:43:32.140Z,2026-03-08T02:45:04.061Z,TRUE,FALSE,FALSE,TRUE,14,1,3,2,596117,Garrett Stubbs,/api/v1/people/596117,L,Left,683627,Anthony Molina,/api/v1/people/683627,R,Right,vs_RHP,vs_LHB,RISP,NA,Venezuela,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Israel,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Israel,Venezuela,false,NA,"rgba(0, 85, 254, 1.0)",CH,Changeup,88,80.2,8,0.91,0.4294,5.9883,27.7688,-23.8178,-10.5721,5.079,0.1553,2.022,7.758,-127.8448,-4.6485,-1.5538,50.0039,5.7466,-17.401,32.4,7.2,24,1830,229,NA,NA,NA,NA,NA,NA,FALSE,17,8.5,-27.4,8.3,17.3,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788107,2026-03-08,2,2026-03-08T02:44:13.937Z,2026-03-08T02:44:17.691Z,TRUE,pitch,e4b1728b-9fee-3faf-82d3-5b65ba56d768,3,Foul,NA,NA,NA,NA,FALSE,F,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,F,Foul,1,2,1,NA,NA,3.073,1.551,NA,113.4,172.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,atBat,Strikeout,strikeout,Garrett Stubbs strikes out swinging.,0,3,11,76,top,9,2026-03-08T02:43:32.140Z,2026-03-08T02:45:04.061Z,TRUE,FALSE,FALSE,TRUE,14,1,3,2,596117,Garrett Stubbs,/api/v1/people/596117,L,Left,683627,Anthony Molina,/api/v1/people/683627,R,Right,vs_RHP,vs_LHB,RISP,NA,Venezuela,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Israel,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Israel,Venezuela,false,NA,"rgba(0, 34, 255, 1.0)",CU,Curveball,84.8,78,5,0.92,0.444,5.9446,24.8992,-33.5254,2.2372,-0.8768,0.0945,2.4524,3.2957,-123.4291,-1.7527,-1.5494,50.0029,5.9985,3.4465,7.2,8.4,24,2329,78,NA,NA,NA,NA,NA,NA,FALSE,17,8.5,-39.8,-1.8,-4.8,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788107,2026-03-08,1,2026-03-08T02:43:53.690Z,2026-03-08T02:43:57.456Z,TRUE,pitch,69aede65-806a-3c66-ba67-e475e7ea612d,2,Foul,NA,NA,NA,NA,FALSE,F,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,F,Foul,1,1,1,NA,NA,3.073,1.551,NA,114.41,181.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,atBat,Strikeout,strikeout,Garrett Stubbs strikes out swinging.,0,3,11,76,top,9,2026-03-08T02:43:32.140Z,2026-03-08T02:45:04.061Z,TRUE,FALSE,FALSE,TRUE,14,1,3,2,596117,Garrett Stubbs,/api/v1/people/596117,L,Left,683627,Anthony Molina,/api/v1/people/683627,R,Right,vs_RHP,vs_LHB,RISP,NA,Venezuela,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Israel,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Israel,Venezuela,false,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,97.1,87.6,5,0.97,0.3907,6.2331,35.9904,-8.233,-4.0711,12.0681,0.0679,2.1297,6.2308,-140.9047,-8.5577,-1.6568,50.0039,5.7613,-8.0776,32.4,2.4,24,2233,205,NA,NA,NA,NA,NA,NA,FALSE,17,8.5,-9.5,19.9,5.9,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788107,2026-03-08,0,2026-03-08T02:43:35.100Z,2026-03-08T02:43:38.493Z,TRUE,pitch,081dd592-1158-34b6-82e0-dd74c5f7b3fb,1,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,1,0,1,NA,NA,3.073,1.551,NA,149.76,215.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,atBat,Strikeout,strikeout,Garrett Stubbs strikes out swinging.,0,3,11,76,top,9,2026-03-08T02:43:32.140Z,2026-03-08T02:45:04.061Z,TRUE,FALSE,FALSE,TRUE,14,1,3,2,596117,Garrett Stubbs,/api/v1/people/596117,L,Left,683627,Anthony Molina,/api/v1/people/683627,R,Right,vs_RHP,vs_LHB,RISP,NA,Venezuela,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Israel,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Israel,Venezuela,false,NA,"rgba(50, 0, 221, 1.0)",SI,Sinker,97.8,88.4,13,0.97,0.3882,6.4488,36.461,-11.8629,-5.6782,10.1055,-0.8595,0.8457,4.3424,-141.8238,-11.239,-1.683,50.0062,5.6478,-11.4155,34.8,3.6,24,2166,211,NA,NA,NA,NA,NA,NA,FALSE,17,8.5,-13.3,15.8,9.2,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788107,2026-03-08,0,2026-03-08T02:43:01.919Z,2026-03-08T02:43:13.039Z,TRUE,pitch,62edfd93-2e21-3b2a-97fd-ead80380ef8b,1,"In play, no out",NA,NA,NA,NA,FALSE,D,"rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,D,"In play, no out",0,0,1,NA,NA,3.21,1.62,NA,103.36,166.58,ground_ball,medium,9,148.21,128.36,NA,NA,NA,NA,NA,NA,NA,NA,75,atBat,Single,single,Zach Levenson singles on a ground ball to right fielder Ronald Acuña Jr. Spencer Horwitz to 2nd.,0,3,11,75,top,9,2026-03-08T02:42:59.243Z,2026-03-08T02:43:13.039Z,TRUE,FALSE,FALSE,FALSE,33,0,0,1,804241,Zach Levenson,/api/v1/people/804241,R,Right,683627,Anthony Molina,/api/v1/people/683627,R,Right,vs_RHP,vs_RHB,RISP,NA,Venezuela,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Israel,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Israel,Venezuela,true,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,97.7,88.7,6,0.95,0.3869,6.3727,34.5694,-10.1554,-5.3929,10.8693,0.3577,2.6741,6.6907,-141.9262,-7.2074,-1.3373,50.0039,5.9043,-10.9267,38.4,3.6,24,2173,207,97.7,3,89,NA,NA,NA,FALSE,17,8.5,-10.7,18.2,8.3,NA,NA,FALSE,TRUE,804241,Zach Levenson,/api/v1/people/804241,NA,NA,NA,687462,Spencer Horwitz,/api/v1/people/687462
788107,2026-03-08,2,2026-03-08T02:42:27.841Z,2026-03-08T02:42:38.401Z,TRUE,pitch,23800070-e627-370d-aa31-2a84c3f93764,3,"In play, no out",NA,NA,NA,NA,FALSE,D,"rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,D,"In play, no out",1,1,1,NA,NA,3.133,1.581,NA,121.6,185.14,ground_ball,medium,9,191,114.48,NA,NA,NA,NA,NA,NA,NA,NA,74,atBat,Single,single,Spencer Horwitz singles on a ground ball to right fielder Ronald Acuña Jr.,0,3,11,74,top,9,2026-03-08T02:41:54.000Z,2026-03-08T02:42:38.401Z,TRUE,FALSE,FALSE,FALSE,33,1,1,1,687462,Spencer Horwitz,/api/v1/people/687462,L,Left,683627,Anthony Molina,/api/v1/people/683627,R,Right,vs_RHP,vs_LHB,Men_On,NA,Venezuela,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Israel,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Israel,Venezuela,true,NA,"rgba(0, 0, 254, 1.0)",SL,Slider,89.4,81.9,8,0.91,0.4214,6.1877,28.2575,-24.1723,2.4708,4.6783,-0.1207,1.9865,3.3855,-130.162,-5.1767,-1.7609,50.0007,5.84,4.2227,10.8,6,24,2024,181,94.9,-16,8,NA,NA,NA,FALSE,17,8.5,-26.8,7.6,-5.3,NA,NA,FALSE,TRUE,687462,Spencer Horwitz,/api/v1/people/687462,NA,NA,NA,NA,NA,NA
788107,2026-03-08,1,2026-03-08T02:42:11.739Z,2026-03-08T02:42:16.030Z,TRUE,pitch,bf12552d-1e47-32df-8b86-238bc2535202,2,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,1,1,1,NA,NA,3.133,1.581,NA,128.76,237.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,atBat,Single,single,Spencer Horwitz singles on a ground ball to right fielder Ronald Acuña Jr.,0,3,11,74,top,9,2026-03-08T02:41:54.000Z,2026-03-08T02:42:38.401Z,TRUE,FALSE,FALSE,FALSE,33,1,1,1,687462,Spencer Horwitz,/api/v1/people/687462,L,Left,683627,Anthony Molina,/api/v1/people/683627,R,Right,vs_RHP,vs_LHB,Men_On,NA,Venezuela,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Israel,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Israel,Venezuela,false,NA,"rgba(0, 85, 254, 1.0)",CH,Changeup,89,81.4,13,0.9,0.4253,5.935,28.5468,-23.9688,-11.2351,4.8881,-0.3085,0.0308,7.35,-129.1244,-9.2839,-1.7419,50.0005,5.5372,-18.844,33.6,7.2,24,1955,228,NA,NA,NA,NA,NA,NA,FALSE,17,8.5,-28.1,6.8,18.6,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
