"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","isBaseRunningPlay","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","base","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
788115,"2026-03-05",3,"2026-03-05T12:48:56.612Z","2026-03-05T12:49:00.667Z",TRUE,"pitch","594979e0-c141-3e8c-a030-0c149c1a12dc",3,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",0,3,2,NA,NA,3.388,1.71,NA,60.16,225.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Martin Cervinka strikes out swinging.",0,4,11,77,"top",9,"2026-03-05T12:48:11.883Z","2026-03-05T12:49:00.667Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,693975,"Martin Cervinka","/api/v1/people/693975","R","Right",838863,"Yeong Chan You","/api/v1/people/838863","R","Right","vs_RHP","vs_RHB","Empty",NA,"Korea",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia","Korea",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",79.7,73.3,14,1.38,0.474,6.6817,22.8804,-29.4058,0.8408,2.047,1.4912,0.4955,6.7537,-115.8394,-5.0898,-1.5787,50.0016,5.5526,1.1344,4.8,9.6,24,2175,241,NA,NA,NA,NA,NA,NA,TRUE,-40.7,2.6,-3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788115,"2026-03-05",1,"2026-03-05T12:48:30.227Z","2026-03-05T12:48:33.467Z",TRUE,"pitch","b3df41b0-3aed-366c-ac9e-dd05d66c1e3c",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.388,1.71,NA,65.86,189.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Martin Cervinka strikes out swinging.",0,4,11,77,"top",9,"2026-03-05T12:48:11.883Z","2026-03-05T12:49:00.667Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,693975,"Martin Cervinka","/api/v1/people/693975","R","Right",838863,"Yeong Chan You","/api/v1/people/838863","R","Right","vs_RHP","vs_RHB","Empty",NA,"Korea",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia","Korea",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",81,74,14,1.36,0.4669,6.6555,24.3361,-28.3243,2.3395,2.7712,1.3416,1.8077,6.1627,-117.7332,-2.9335,-1.6241,50.0048,5.7173,3.2528,8.4,8.4,24,2147,185,NA,NA,NA,NA,NA,NA,FALSE,-37.6,4.6,-5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788115,"2026-03-05",0,"2026-03-05T12:48:14.297Z","2026-03-05T12:48:18.412Z",TRUE,"pitch","2b9b8798-a851-35bb-bf4d-44428f71b2e2",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.388,1.71,NA,98.97,159.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Martin Cervinka strikes out swinging.",0,4,11,77,"top",9,"2026-03-05T12:48:11.883Z","2026-03-05T12:49:00.667Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,693975,"Martin Cervinka","/api/v1/people/693975","R","Right",838863,"Yeong Chan You","/api/v1/people/838863","R","Right","vs_RHP","vs_RHB","Empty",NA,"Korea",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia","Korea",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",80.5,73.4,6,1.36,0.4692,6.7002,24.1963,-28.7545,1.7427,2.4803,0.4731,2.9422,4.4507,-117.189,-0.4753,-1.6846,50.0002,5.8567,2.3992,6,8.4,24,2166,214,NA,NA,NA,NA,NA,NA,FALSE,-37.8,4.7,-4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788115,"2026-03-05",2,"2026-03-05T12:48:39.849Z","2026-03-05T12:48:56.612Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",4,11,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,2,2,693975,"/api/v1/people/693975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Martin Cervinka strikes out swinging.",0,4,11,77,"top",9,"2026-03-05T12:48:11.883Z","2026-03-05T12:49:00.667Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,693975,"Martin Cervinka","/api/v1/people/693975","R","Right",838863,"Yeong Chan You","/api/v1/people/838863","R","Right","vs_RHP","vs_RHB","Empty",NA,"Korea",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia","Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788115,"2026-03-05",3,"2026-03-05T12:47:45.134Z","2026-03-05T12:47:48.903Z",TRUE,"pitch","3c472d5a-a26d-3be1-8c86-e6fa9c1eb4ff",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,1,NA,NA,3.433,1.733,NA,129.34,167.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Ryan Johnson strikes out swinging.",0,4,11,76,"top",9,"2026-03-05T12:46:48.767Z","2026-03-05T12:47:48.903Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,689650,"Ryan Johnson","/api/v1/people/689650","L","Left",838863,"Yeong Chan You","/api/v1/people/838863","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Korea",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia","Korea",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",81.5,74.3,4,1.36,0.4636,6.7199,24.0779,-26.1036,-10.1862,4.2999,-0.3237,2.6307,6.1201,-118.4717,-1.8075,-1.6261,50.0035,5.8053,-14.3813,26.4,8.4,24,1532,244,NA,NA,NA,NA,NA,NA,TRUE,-33.8,7.6,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,679925,"William Escala","/api/v1/people/679925",NA,NA,NA,NA,NA,NA
788115,"2026-03-05",2,"2026-03-05T12:47:20.265Z","2026-03-05T12:47:26.455Z",TRUE,"pitch","974819f8-f1c3-394a-bfd8-4aec7b2c0008",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,1,NA,NA,3.433,1.733,NA,111.5,160.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Ryan Johnson strikes out swinging.",0,4,11,76,"top",9,"2026-03-05T12:46:48.767Z","2026-03-05T12:47:48.903Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,689650,"Ryan Johnson","/api/v1/people/689650","L","Left",838863,"Yeong Chan You","/api/v1/people/838863","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Korea",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia","Korea",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",88.7,79.7,5,1.32,0.4282,6.5885,31.2512,-15.4494,-6.1961,10.1335,0.1444,2.8935,6.2847,-128.82,-4.2356,-1.5431,50.0027,5.7842,-10.2265,27.6,4.8,24,2129,213,NA,NA,NA,NA,NA,NA,FALSE,-18,17.4,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788115,"2026-03-05",1,"2026-03-05T12:46:51.064Z","2026-03-05T12:46:54.657Z",TRUE,"pitch","c55b4f36-2c7b-38bd-82d8-9966eed6f63c",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,1,NA,NA,3.433,1.733,NA,130.53,148.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Ryan Johnson strikes out swinging.",0,4,11,76,"top",9,"2026-03-05T12:46:48.767Z","2026-03-05T12:47:48.903Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,689650,"Ryan Johnson","/api/v1/people/689650","L","Left",838863,"Yeong Chan You","/api/v1/people/838863","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Korea",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia","Korea",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",89,80.4,1,1.32,0.4254,6.6706,30.1525,-14.4986,-6.3544,10.5606,-0.355,3.3443,5.4912,-129.3765,-3.376,-1.6925,50.0037,5.796,-10.6376,31.2,4.8,24,2180,217,NA,NA,NA,NA,NA,NA,FALSE,-16.4,18.5,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788115,"2026-03-05",0,"2026-03-05T12:46:44.887Z","2026-03-05T12:46:51.064Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Ryan Johnson replaces Milan Prokop.","Offensive Substitution",4,11,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,689650,"/api/v1/people/689650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","101","76","atBat","Strikeout","strikeout","Ryan Johnson strikes out swinging.",0,4,11,76,"top",9,"2026-03-05T12:46:48.767Z","2026-03-05T12:47:48.903Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,689650,"Ryan Johnson","/api/v1/people/689650","L","Left",838863,"Yeong Chan You","/api/v1/people/838863","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Korea",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia","Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,807160,"/api/v1/people/807160",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788115,"2026-03-05",1,"2026-03-05T12:46:00.481Z","2026-03-05T12:46:14.518Z",TRUE,"pitch","2fe243df-0471-3cd4-bcab-feb30bcaecde",1,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",0,0,0,NA,NA,3.21,1.62,NA,136.5,162.06,"fly_ball","medium","7",78.06,87.4,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Sac Fly","sac_fly","Jan Pospisil out on a sacrifice fly to left fielder Jahmai Jones. Marek Krejcirik scores.",1,4,11,75,"top",9,"2026-03-05T12:45:58.592Z","2026-03-05T12:46:14.518Z",TRUE,TRUE,FALSE,TRUE,0,0,0,1,837160,"Jan Pospisil","/api/v1/people/837160","L","Left",838863,"Yeong Chan You","/api/v1/people/838863","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Korea",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia","Korea",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",89.4,80.6,1,1.33,0.4241,6.6144,31.1035,-13.9414,-6.5182,10.8308,-0.5116,2.8415,5.3703,-129.9132,-4.5884,-1.7744,50.0007,5.7155,-10.97,32.4,4.8,24,2171,212,87.8,32,303,NA,NA,NA,TRUE,-16.1,18.6,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,679925,"William Escala","/api/v1/people/679925",NA,NA,NA,NA,NA,NA
788115,"2026-03-05",0,"2026-03-05T12:45:42.601Z","2026-03-05T12:46:00.481Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Jan Pospisil replaces Max Prejda.","Offensive Substitution",3,11,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,837160,"/api/v1/people/837160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","901","75","atBat","Sac Fly","sac_fly","Jan Pospisil out on a sacrifice fly to left fielder Jahmai Jones. Marek Krejcirik scores.",1,4,11,75,"top",9,"2026-03-05T12:45:58.592Z","2026-03-05T12:46:14.518Z",TRUE,TRUE,FALSE,TRUE,0,0,0,1,837160,"Jan Pospisil","/api/v1/people/837160","L","Left",838863,"Yeong Chan You","/api/v1/people/838863","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Korea",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia","Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,838351,"/api/v1/people/838351",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
