"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","isBaseRunningPlay","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
788116,"2026-03-06",1,"2026-03-06T05:25:04.638Z","2026-03-06T05:25:16.017Z",TRUE,"pitch","86e8c76a-40b0-3f2a-aaa4-e190297512fe",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,2,NA,NA,3.165,1.598,NA,145.98,175.67,"popup","medium","3",143.9,169.83,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Pop Out","field_out","Martin Muzik pops out to first baseman Robbie Glendinning.",0,5,1,69,"bottom",9,"2026-03-06T05:24:29.412Z","2026-03-06T05:25:16.017Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,693973,"Martin Muzik","/api/v1/people/693973","R","Right",666748,"Mitch Neunborn","/api/v1/people/666748","R","Right","vs_RHP","vs_RHB","Empty",NA,"Czechia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Australia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia","Australia","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",89.5,81.8,4,0.86,0.4206,6.4109,27.7498,-13.133,-4.8685,11.0883,-0.7603,2.3372,2.9087,-130.31,-5.6635,-1.2593,50.0022,5.5334,-8.3605,28.8,3.6,24,2242,201,84.6,74,82,NA,NA,NA,TRUE,-15.1,19.1,8.2,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788116,"2026-03-06",0,"2026-03-06T05:24:49.338Z","2026-03-06T05:24:53.277Z",TRUE,"pitch","19d377a7-8564-3ae0-8c75-912f60f151ab",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.165,1.598,NA,116.43,159.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Pop Out","field_out","Martin Muzik pops out to first baseman Robbie Glendinning.",0,5,1,69,"bottom",9,"2026-03-06T05:24:29.412Z","2026-03-06T05:25:16.017Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,693973,"Martin Muzik","/api/v1/people/693973","R","Right",666748,"Mitch Neunborn","/api/v1/people/666748","R","Right","vs_RHP","vs_RHB","Empty",NA,"Czechia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Australia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia","Australia","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",91,82.5,2,0.92,0.415,6.3705,30.494,-12.6575,-6.0742,11.0868,0.015,2.936,5.5522,-132.393,-4.3772,-1.3288,50.0005,5.5495,-10.6905,34.8,3.6,24,2364,212,NA,NA,NA,NA,NA,NA,FALSE,-14,19.2,9.6,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788116,"2026-03-06",6,"2026-03-06T05:24:11.113Z","2026-03-06T05:24:21.737Z",TRUE,"pitch","892ac10b-20eb-35d8-8350-e8a151cf8d43",6,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,1,NA,NA,3.388,1.71,NA,134.02,170.36,"fly_ball","medium","8",116.2,86.6,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Flyout","field_out","Marek Chlup flies out to center fielder Aaron Whitefield.",0,5,1,68,"bottom",9,"2026-03-06T05:22:25.866Z","2026-03-06T05:24:21.737Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,803013,"Marek Chlup","/api/v1/people/803013","R","Right",666748,"Mitch Neunborn","/api/v1/people/666748","R","Right","vs_RHP","vs_RHB","RISP",NA,"Czechia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Australia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia","Australia",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",90.3,82.5,4,0.9,0.4169,6.5342,28.0882,-14.597,-7.1013,10.0591,-0.4465,2.5341,4.7157,-131.4225,-4.8684,-1.3423,50.0055,5.4963,-12.4128,36,4.8,24,2262,211,83.9,49,283,NA,NA,NA,TRUE,-16.2,17.3,11.8,NA,NA,NA,NA,NA,TRUE,FALSE,679631,"Terrin Vavra","/api/v1/people/679631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788116,"2026-03-06",5,"2026-03-06T05:23:50.750Z","2026-03-06T05:23:53.786Z",TRUE,"pitch","d05e5fda-abde-3dce-98b7-49d0b5b5646c",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,1,NA,NA,3.388,1.71,NA,129.86,143.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Flyout","field_out","Marek Chlup flies out to center fielder Aaron Whitefield.",0,5,1,68,"bottom",9,"2026-03-06T05:22:25.866Z","2026-03-06T05:24:21.737Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,803013,"Marek Chlup","/api/v1/people/803013","R","Right",666748,"Mitch Neunborn","/api/v1/people/666748","R","Right","vs_RHP","vs_RHB","RISP",NA,"Czechia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Australia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia","Australia",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",81.6,75.2,1,0.9,0.46,6.2795,22.0797,-33.0572,2.7625,-0.6102,-0.3375,3.5164,2.1338,-118.928,2.0027,-1.6043,50.0054,5.6543,3.9711,7.2,9.6,24,2506,97,NA,NA,NA,NA,NA,NA,FALSE,-41.3,-0.4,-5.5,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788116,"2026-03-06",3,"2026-03-06T05:23:23.118Z","2026-03-06T05:23:26.965Z",TRUE,"pitch","f3371f22-9bc1-384f-a31d-76046b268cdc",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,1,NA,NA,3.388,1.71,NA,130.51,137.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Flyout","field_out","Marek Chlup flies out to center fielder Aaron Whitefield.",0,5,1,68,"bottom",9,"2026-03-06T05:22:25.866Z","2026-03-06T05:24:21.737Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,803013,"Marek Chlup","/api/v1/people/803013","R","Right",666748,"Mitch Neunborn","/api/v1/people/666748","R","Right","vs_RHP","vs_RHB","RISP",NA,"Czechia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Australia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia","Australia",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",90.5,82.5,11,0.91,0.4162,6.3135,28.5148,-13.4043,-5.5672,10.7065,-0.3544,3.7433,4.2851,-131.7154,-2.3117,-1.2807,50.0048,5.6259,-9.763,32.4,3.6,24,2332,208,NA,NA,NA,NA,NA,NA,FALSE,-14.4,19.1,9.1,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788116,"2026-03-06",2,"2026-03-06T05:23:06.002Z","2026-03-06T05:23:10.750Z",TRUE,"pitch","c4cf8218-0988-3bcd-b281-2cbc3993ce25",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.388,1.71,NA,139.6,205.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Flyout","field_out","Marek Chlup flies out to center fielder Aaron Whitefield.",0,5,1,68,"bottom",9,"2026-03-06T05:22:25.866Z","2026-03-06T05:24:21.737Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,803013,"Marek Chlup","/api/v1/people/803013","R","Right",666748,"Mitch Neunborn","/api/v1/people/666748","R","Right","vs_RHP","vs_RHB","RISP",NA,"Czechia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Australia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia","Australia",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",76.4,70.4,13,0.9,0.4934,6.3285,20.6113,-33.6891,-6.8769,-1.2175,-0.5929,1.225,3.8141,-111.1552,-2.2074,-1.4408,50.0012,5.7411,-8.5727,13.2,10.8,24,1139,263,NA,NA,NA,NA,NA,NA,FALSE,-49.4,-2.5,11.4,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788116,"2026-03-06",1,"2026-03-06T05:22:48.531Z","2026-03-06T05:22:53.389Z",TRUE,"pitch","80c998ae-a9e0-32fb-a4c2-e0cf33820c02",2,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",1,1,1,NA,NA,3.388,1.71,NA,82.96,224.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Flyout","field_out","Marek Chlup flies out to center fielder Aaron Whitefield.",0,5,1,68,"bottom",9,"2026-03-06T05:22:25.866Z","2026-03-06T05:24:21.737Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,803013,"Marek Chlup","/api/v1/people/803013","R","Right",666748,"Mitch Neunborn","/api/v1/people/666748","R","Right","vs_RHP","vs_RHB","RISP",NA,"Czechia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Australia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia","Australia",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",76.8,70.3,14,0.92,0.4933,6.4698,22.1014,-33.1459,-7.696,-0.7783,0.8929,0.5223,6.7508,-111.5033,-3.5477,-1.19,50.0046,5.5931,-9.5857,14.4,10.8,24,1219,253,NA,NA,NA,NA,NA,NA,FALSE,-49.1,-2.2,12,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788116,"2026-03-06",0,"2026-03-06T05:22:34.869Z","2026-03-06T05:22:38.888Z",TRUE,"pitch","018f4607-0941-3ae8-81b2-a7d46b4beaf9",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,1,NA,NA,3.388,1.71,NA,128.93,162.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Flyout","field_out","Marek Chlup flies out to center fielder Aaron Whitefield.",0,5,1,68,"bottom",9,"2026-03-06T05:22:25.866Z","2026-03-06T05:24:21.737Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,803013,"Marek Chlup","/api/v1/people/803013","R","Right",666748,"Mitch Neunborn","/api/v1/people/666748","R","Right","vs_RHP","vs_RHB","RISP",NA,"Czechia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Australia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia","Australia",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",90.1,81.4,4,0.87,0.4201,6.3944,30.9304,-13.1806,-3.6065,11.0691,-0.313,2.8401,3.9428,-131.003,-4.3578,-1.3781,50.0049,5.5298,-6.1903,20.4,3.6,24,2246,212,NA,NA,NA,NA,NA,NA,FALSE,-15,19.1,5.5,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788116,"2026-03-06",4,"2026-03-06T05:23:39.616Z","2026-03-06T05:23:50.750Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",5,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,2,1,803013,"/api/v1/people/803013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"68","atBat","Flyout","field_out","Marek Chlup flies out to center fielder Aaron Whitefield.",0,5,1,68,"bottom",9,"2026-03-06T05:22:25.866Z","2026-03-06T05:24:21.737Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,803013,"Marek Chlup","/api/v1/people/803013","R","Right",666748,"Mitch Neunborn","/api/v1/people/666748","R","Right","vs_RHP","vs_RHB","RISP",NA,"Czechia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Australia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia","Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788116,"2026-03-06",1,"2026-03-06T05:22:01.300Z","2026-03-06T05:22:13.751Z",TRUE,"pitch","dc22a704-3104-3eb5-bd79-56e11fc72adf",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,0,NA,NA,3.388,1.71,NA,124.9,157.03,"ground_ball","hard","5",102.33,168.82,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Martin Cervenka grounds out sharply, third baseman Curtis Mead to first baseman Robbie Glendinning. Terrin Vavra to 2nd.",0,5,1,67,"bottom",9,"2026-03-06T05:21:22.969Z","2026-03-06T05:22:13.751Z",TRUE,FALSE,FALSE,TRUE,0,1,0,1,548431,"Martin Cervenka","/api/v1/people/548431","R","Right",666748,"Mitch Neunborn","/api/v1/people/666748","R","Right","vs_RHP","vs_RHB","RISP",NA,"Czechia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Australia",51,"International Baseball",11,"Office of the Commissioner",160,"World Baseball Classic","Czechia","Australia","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",89.1,81.1,2,0.83,0.423,6.4056,28.2283,-13.0222,-4.3265,11.2906,-0.2073,3.0278,4.3276,-129.6981,-3.7465,-1.3388,50.0023,5.4904,-7.3387,25.2,3.6,24,2258,217,102.1,-8,22,NA,NA,NA,TRUE,-14.8,19.8,6.8,NA,NA,NA,NA,NA,TRUE,FALSE,679631,"Terrin Vavra","/api/v1/people/679631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
