game_pk,game_date,index,startTime,endTime,isPitch,type,playId,pitchNumber,details.description,details.event,details.awayScore,details.homeScore,details.isScoringPlay,details.hasReview,details.code,details.ballColor,details.isInPlay,details.isStrike,details.isBall,details.call.code,details.call.description,count.balls.start,count.strikes.start,count.outs.start,player.id,player.link,pitchData.strikeZoneTop,pitchData.strikeZoneBottom,details.fromCatcher,pitchData.coordinates.x,pitchData.coordinates.y,hitData.trajectory,hitData.hardness,hitData.location,hitData.coordinates.coordX,hitData.coordinates.coordY,actionPlayId,details.eventType,details.runnerGoing,position.code,position.name,position.type,position.abbreviation,battingOrder,atBatIndex,result.type,result.event,result.eventType,result.description,result.rbi,result.awayScore,result.homeScore,about.atBatIndex,about.halfInning,about.inning,about.startTime,about.endTime,about.isComplete,about.isScoringPlay,about.hasReview,about.hasOut,about.captivatingIndex,count.balls.end,count.strikes.end,count.outs.end,matchup.batter.id,matchup.batter.fullName,matchup.batter.link,matchup.batSide.code,matchup.batSide.description,matchup.pitcher.id,matchup.pitcher.fullName,matchup.pitcher.link,matchup.pitchHand.code,matchup.pitchHand.description,matchup.splits.batter,matchup.splits.pitcher,matchup.splits.menOnBase,batted.ball.result,home_team,home_level_id,home_level_name,home_parentOrg_id,home_parentOrg_name,home_league_id,home_league_name,away_team,away_level_id,away_level_name,away_parentOrg_id,away_parentOrg_name,away_league_id,away_league_name,batting_team,fielding_team,last.pitch.of.ab,pfxId,details.trailColor,details.type.code,details.type.description,pitchData.startSpeed,pitchData.endSpeed,pitchData.zone,pitchData.typeConfidence,pitchData.plateTime,pitchData.extension,pitchData.coordinates.aY,pitchData.coordinates.aZ,pitchData.coordinates.pfxX,pitchData.coordinates.pfxZ,pitchData.coordinates.pX,pitchData.coordinates.pZ,pitchData.coordinates.vX0,pitchData.coordinates.vY0,pitchData.coordinates.vZ0,pitchData.coordinates.x0,pitchData.coordinates.y0,pitchData.coordinates.z0,pitchData.coordinates.aX,pitchData.breaks.breakAngle,pitchData.breaks.breakLength,pitchData.breaks.breakY,pitchData.breaks.spinRate,pitchData.breaks.spinDirection,hitData.launchSpeed,hitData.launchAngle,hitData.totalDistance,injuryType,umpire.id,umpire.link,details.isOut,pitchData.breaks.breakVertical,pitchData.breaks.breakVerticalInduced,pitchData.breaks.breakHorizontal,details.disengagementNum,details.violation.type,details.violation.description,details.violation.player.id,details.violation.player.fullName,isSubstitution,base,replacedPlayer.id,replacedPlayer.link,result.isOut,about.isTopInning,matchup.postOnFirst.id,matchup.postOnFirst.fullName,matchup.postOnFirst.link,matchup.postOnThird.id,matchup.postOnThird.fullName,matchup.postOnThird.link,matchup.postOnSecond.id,matchup.postOnSecond.fullName,matchup.postOnSecond.link,reviewDetails.isOverturned,reviewDetails.inProgress,reviewDetails.reviewType,reviewDetails.challengeTeamId
788118,2026-03-07,0,2026-03-07T13:12:46.938Z,2026-03-07T13:12:54.857Z,TRUE,pitch,064f9654-8cb8-3549-b36e-20bc5f4ec60e,1,"In play, out(s)",NA,NA,NA,NA,FALSE,X,"rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,X,"In play, out(s)",0,0,2,NA,NA,3.224,1.627,NA,118.28,191.83,ground_ball,medium,3,164.18,165.27,NA,NA,NA,NA,NA,NA,NA,NA,75,atBat,Groundout,field_out,Jung Hoo Lee grounds out to first baseman Kazuma Okamoto.,0,6,8,75,top,9,2026-03-07T13:12:28.867Z,2026-03-07T13:12:54.857Z,TRUE,FALSE,FALSE,TRUE,0,0,0,3,808982,Jung Hoo Lee,/api/v1/people/808982,L,Left,808962,Taisei Ota,/api/v1/people/808962,R,Right,vs_RHP,vs_LHB,Empty,NA,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,Japan,true,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,95.7,86.2,8,2,0.3966,7.7403,35.2183,-24.4669,-12.7967,4.0032,-0.0337,1.739,11.3231,-138.8501,-1.8127,-2.5307,50.0007,4.0518,-24.628,40.8,7.2,24,2359,250,90.6,-18,7,NA,NA,NA,TRUE,-23.4,7,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788118,2026-03-07,4,2026-03-07T13:12:02.391Z,2026-03-07T13:12:16.891Z,TRUE,pitch,49b09871-d669-3eb3-9b11-225acb41fe6f,5,"In play, out(s)",NA,NA,NA,NA,FALSE,X,"rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,X,"In play, out(s)",1,2,1,NA,NA,3.138,1.584,NA,107.94,177.14,fly_ball,hard,8,140.27,37.23,NA,NA,NA,NA,NA,NA,NA,NA,74,atBat,Flyout,field_out,Jahmai Jones flies out sharply to center fielder Ukyo Shuto.,0,6,8,74,top,9,2026-03-07T13:10:36.216Z,2026-03-07T13:12:16.891Z,TRUE,FALSE,FALSE,TRUE,0,1,2,2,663330,Jahmai Jones,/api/v1/people/663330,R,Right,808962,Taisei Ota,/api/v1/people/808962,R,Right,vs_RHP,vs_RHB,Empty,NA,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,Japan,true,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,96.4,87.7,5,2,0.3917,7.6813,32.0324,-19.7936,-11.1396,6.2568,0.2376,2.283,11.6324,-139.9159,-1.6887,-2.5296,50.0052,4.1935,-22.0542,44.4,6,24,2458,239,104.6,27,402,NA,NA,NA,TRUE,-18.5,11.2,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788118,2026-03-07,3,2026-03-07T13:11:40.619Z,2026-03-07T13:11:44.899Z,TRUE,pitch,9a41457c-cb28-3b51-9245-a6de9d7f605c,4,Foul,NA,NA,NA,NA,FALSE,F,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,F,Foul,1,2,1,NA,NA,3.138,1.584,NA,154.06,185.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,atBat,Flyout,field_out,Jahmai Jones flies out sharply to center fielder Ukyo Shuto.,0,6,8,74,top,9,2026-03-07T13:10:36.216Z,2026-03-07T13:12:16.891Z,TRUE,FALSE,FALSE,TRUE,0,1,2,2,663330,Jahmai Jones,/api/v1/people/663330,R,Right,808962,Taisei Ota,/api/v1/people/808962,R,Right,vs_RHP,vs_RHB,Empty,NA,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,Japan,false,NA,"rgba(119, 0, 152, 1.0)",FS,Splitter,86.6,79.4,13,2,0.4347,7.9589,25.476,-38.6266,-4.7877,-4.0173,-0.9723,1.9769,5.4531,-125.9754,2.551,-2.5425,50.0006,4.0726,-7.6986,9.6,9.6,24,708,280,NA,NA,NA,NA,NA,NA,FALSE,-43,-6.5,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788118,2026-03-07,2,2026-03-07T13:11:24.550Z,2026-03-07T13:11:28.089Z,TRUE,pitch,682ad7d7-bd1b-31fe-8777-981393f958f7,3,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,1,2,1,NA,NA,3.138,1.584,NA,75.65,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,atBat,Flyout,field_out,Jahmai Jones flies out sharply to center fielder Ukyo Shuto.,0,6,8,74,top,9,2026-03-07T13:10:36.216Z,2026-03-07T13:12:16.891Z,TRUE,FALSE,FALSE,TRUE,0,1,2,2,663330,Jahmai Jones,/api/v1/people/663330,R,Right,808962,Taisei Ota,/api/v1/people/808962,R,Right,vs_RHP,vs_RHB,Empty,NA,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,Japan,false,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,96.1,87.2,12,2,0.3934,7.9686,31.8426,-20.0994,-11.3352,6.1546,1.0849,4.103,13.4185,-139.3198,3.0967,-2.3254,50.0038,4.3067,-22.2444,44.4,6,24,2466,238,NA,NA,NA,NA,NA,NA,FALSE,-17.8,12.1,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788118,2026-03-07,1,2026-03-07T13:11:07.943Z,2026-03-07T13:11:11.053Z,TRUE,pitch,0ea0779b-65c6-36c3-bb47-04b5e5c496c4,2,Swinging Strike,NA,NA,NA,NA,FALSE,S,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,S,Swinging Strike,0,2,1,NA,NA,3.138,1.584,NA,129.34,142.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,atBat,Flyout,field_out,Jahmai Jones flies out sharply to center fielder Ukyo Shuto.,0,6,8,74,top,9,2026-03-07T13:10:36.216Z,2026-03-07T13:12:16.891Z,TRUE,FALSE,FALSE,TRUE,0,1,2,2,663330,Jahmai Jones,/api/v1/people/663330,R,Right,808962,Taisei Ota,/api/v1/people/808962,R,Right,vs_RHP,vs_RHB,Empty,NA,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,Japan,false,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,94.6,85.6,11,2,0.3997,7.7733,32.2328,-18.6797,-10.366,7.1085,-0.3236,3.5722,9.2401,-137.368,1.4559,-2.3946,50.0054,4.3105,-19.6878,43.2,6,24,2336,243,NA,NA,NA,NA,NA,NA,FALSE,-17.4,13.4,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788118,2026-03-07,0,2026-03-07T13:10:53.011Z,2026-03-07T13:10:56.911Z,TRUE,pitch,3a901c86-49d3-3912-940c-ae922021aec0,1,Called Strike,NA,NA,NA,NA,FALSE,C,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,C,Called Strike,0,1,1,NA,NA,3.138,1.584,NA,111.13,149.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,atBat,Flyout,field_out,Jahmai Jones flies out sharply to center fielder Ukyo Shuto.,0,6,8,74,top,9,2026-03-07T13:10:36.216Z,2026-03-07T13:12:16.891Z,TRUE,FALSE,FALSE,TRUE,0,1,2,2,663330,Jahmai Jones,/api/v1/people/663330,R,Right,808962,Taisei Ota,/api/v1/people/808962,R,Right,vs_RHP,vs_RHB,Empty,NA,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,Japan,false,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,96.4,87.4,12,2,0.3922,7.7697,33.0462,-23.5408,-11.5961,4.3747,0.154,3.3046,11.5458,-139.9149,1.4015,-2.5295,50.0001,4.3453,-22.8725,40.8,6,24,2356,244,NA,NA,NA,NA,NA,NA,FALSE,-21.2,8.4,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788118,2026-03-07,5,2026-03-07T13:10:21.674Z,2026-03-07T13:10:30.465Z,TRUE,pitch,c32e8c6a-d749-312c-8c98-ca6c4475b641,1,"In play, out(s)",NA,NA,NA,NA,FALSE,X,"rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,X,"In play, out(s)",0,0,0,NA,NA,3.21,1.62,NA,139.27,185.48,fly_ball,medium,8,126.83,101.15,NA,NA,NA,NA,NA,NA,NA,NA,73,atBat,Flyout,field_out,Do Yeong Kim flies out to center fielder Ukyo Shuto.,0,6,8,73,top,9,2026-03-07T13:10:19.346Z,2026-03-07T13:10:30.465Z,TRUE,FALSE,FALSE,TRUE,0,0,0,1,838339,Do Yeong Kim,/api/v1/people/838339,R,Right,808962,Taisei Ota,/api/v1/people/808962,R,Right,vs_RHP,vs_RHB,Empty,NA,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,Japan,NA,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,95.6,87.2,7,2,0.3943,7.7768,31.4688,-21.126,-11.4557,5.6572,-0.5844,1.9742,9.3222,-138.9688,-2.3168,-2.4958,50.0066,4.2238,-22.3865,43.2,6,24,2423,243,71.9,32,247,NA,NA,NA,TRUE,-20,10,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788118,2026-03-07,0,2026-03-07T13:09:29.821Z,2026-03-07T13:09:29.858Z,FALSE,action,NA,NA,Defensive switch from center field to right field for Seiya Suzuki.,Defensive Switch,6,8,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,673548,/api/v1/people/673548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,defensive_switch,NA,9,Outfielder,Outfielder,RF,300,73,atBat,Flyout,field_out,Do Yeong Kim flies out to center fielder Ukyo Shuto.,0,6,8,73,top,9,2026-03-07T13:10:19.346Z,2026-03-07T13:10:30.465Z,TRUE,FALSE,FALSE,TRUE,0,0,0,1,838339,Do Yeong Kim,/api/v1/people/838339,R,Right,808962,Taisei Ota,/api/v1/people/808962,R,Right,vs_RHP,vs_RHB,Empty,NA,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788118,2026-03-07,1,2026-03-07T13:09:29.858Z,2026-03-07T13:09:29.861Z,FALSE,action,NA,NA,Defensive switch from third base to first base for Kazuma Okamoto.,Defensive Switch,6,8,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,672960,/api/v1/people/672960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,defensive_switch,NA,3,First Base,Infielder,1B,500,73,atBat,Flyout,field_out,Do Yeong Kim flies out to center fielder Ukyo Shuto.,0,6,8,73,top,9,2026-03-07T13:10:19.346Z,2026-03-07T13:10:30.465Z,TRUE,FALSE,FALSE,TRUE,0,0,0,1,838339,Do Yeong Kim,/api/v1/people/838339,R,Right,808962,Taisei Ota,/api/v1/people/808962,R,Right,vs_RHP,vs_RHB,Empty,NA,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788118,2026-03-07,2,2026-03-07T13:09:29.861Z,2026-03-07T13:09:29.863Z,FALSE,action,NA,NA,Ukyo Shuto remains in the game as the center fielder.,Defensive Switch,6,8,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,683970,/api/v1/people/683970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,defensive_switch,NA,8,Outfielder,Outfielder,CF,601,73,atBat,Flyout,field_out,Do Yeong Kim flies out to center fielder Ukyo Shuto.,0,6,8,73,top,9,2026-03-07T13:10:19.346Z,2026-03-07T13:10:30.465Z,TRUE,FALSE,FALSE,TRUE,0,0,0,1,838339,Do Yeong Kim,/api/v1/people/838339,R,Right,808962,Taisei Ota,/api/v1/people/808962,R,Right,vs_RHP,vs_RHB,Empty,NA,Japan,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Korea,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,808959,/api/v1/people/808959,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
