game_pk,game_date,index,startTime,endTime,isPitch,type,playId,pitchNumber,details.description,details.event,details.awayScore,details.homeScore,details.isScoringPlay,details.hasReview,details.code,details.ballColor,details.isInPlay,details.isStrike,details.isBall,details.call.code,details.call.description,count.balls.start,count.strikes.start,count.outs.start,player.id,player.link,pitchData.strikeZoneTop,pitchData.strikeZoneBottom,details.fromCatcher,pitchData.coordinates.x,pitchData.coordinates.y,hitData.trajectory,hitData.hardness,hitData.location,hitData.coordinates.coordX,hitData.coordinates.coordY,actionPlayId,details.eventType,details.runnerGoing,position.code,position.name,position.type,position.abbreviation,battingOrder,atBatIndex,result.type,result.event,result.eventType,result.description,result.rbi,result.awayScore,result.homeScore,about.atBatIndex,about.halfInning,about.inning,about.startTime,about.endTime,about.isComplete,about.isScoringPlay,about.hasReview,about.hasOut,about.captivatingIndex,count.balls.end,count.strikes.end,count.outs.end,matchup.batter.id,matchup.batter.fullName,matchup.batter.link,matchup.batSide.code,matchup.batSide.description,matchup.pitcher.id,matchup.pitcher.fullName,matchup.pitcher.link,matchup.pitchHand.code,matchup.pitchHand.description,matchup.splits.batter,matchup.splits.pitcher,matchup.splits.menOnBase,batted.ball.result,home_team,home_level_id,home_level_name,home_parentOrg_id,home_parentOrg_name,home_league_id,home_league_name,away_team,away_level_id,away_level_name,away_parentOrg_id,away_parentOrg_name,away_league_id,away_league_name,batting_team,fielding_team,last.pitch.of.ab,pfxId,details.trailColor,details.type.code,details.type.description,pitchData.startSpeed,pitchData.endSpeed,pitchData.zone,pitchData.typeConfidence,pitchData.plateTime,pitchData.extension,pitchData.coordinates.aY,pitchData.coordinates.aZ,pitchData.coordinates.pfxX,pitchData.coordinates.pfxZ,pitchData.coordinates.pX,pitchData.coordinates.pZ,pitchData.coordinates.vX0,pitchData.coordinates.vY0,pitchData.coordinates.vZ0,pitchData.coordinates.x0,pitchData.coordinates.y0,pitchData.coordinates.z0,pitchData.coordinates.aX,pitchData.breaks.breakAngle,pitchData.breaks.breakLength,pitchData.breaks.breakY,pitchData.breaks.spinRate,pitchData.breaks.spinDirection,hitData.launchSpeed,hitData.launchAngle,hitData.totalDistance,injuryType,umpire.id,umpire.link,details.isOut,pitchData.strikeZoneWidth,pitchData.strikeZoneDepth,pitchData.breaks.breakVertical,pitchData.breaks.breakVerticalInduced,pitchData.breaks.breakHorizontal,details.disengagementNum,isSubstitution,isBaseRunningPlay,details.violation.type,details.violation.description,details.violation.player.id,details.violation.player.fullName,replacedPlayer.id,replacedPlayer.link,base,result.isOut,about.isTopInning,matchup.postOnFirst.id,matchup.postOnFirst.fullName,matchup.postOnFirst.link,matchup.postOnSecond.id,matchup.postOnSecond.fullName,matchup.postOnSecond.link,matchup.postOnThird.id,matchup.postOnThird.fullName,matchup.postOnThird.link
788128,2026-03-07,4,2026-03-07T04:40:12.421Z,2026-03-07T04:40:18.134Z,TRUE,pitch,3e0cf379-68d0-3b2b-abdc-5060b2a7eba7,5,Called Strike,NA,NA,NA,NA,FALSE,C,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,C,Called Strike,2,3,2,NA,NA,3.299,1.665,NA,98.35,195.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,atBat,Strikeout,strikeout,Victor Mascai called out on strikes.,0,15,5,88,bottom,9,2026-03-07T04:38:54.726Z,2026-03-07T04:40:18.134Z,TRUE,FALSE,FALSE,TRUE,14,2,3,3,678685,Victor Mascai,/api/v1/people/678685,L,Left,695243,Mason Miller,/api/v1/people/695243,R,Right,vs_RHP,vs_LHB,Empty,NA,Brazil,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,United States,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Brazil,United States,true,NA,"rgba(0, 0, 254, 1.0)",SL,Slider,88.6,81.3,14,0.9,0.426,6.9154,28.5809,-31.6635,6.3208,0.3107,0.4893,1.6072,3.1299,-128.9246,-5.4012,-1.5646,50.0064,6.194,10.5673,19.2,8.4,24,2371,37,NA,NA,NA,NA,NA,NA,TRUE,17,8.5,-35.5,-0.5,-12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788128,2026-03-07,3,2026-03-07T04:39:55.103Z,2026-03-07T04:39:59.168Z,TRUE,pitch,4b65da83-783a-3a63-83f0-9cb97091a714,4,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,2,2,2,NA,NA,3.299,1.665,NA,120.18,115.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,atBat,Strikeout,strikeout,Victor Mascai called out on strikes.,0,15,5,88,bottom,9,2026-03-07T04:38:54.726Z,2026-03-07T04:40:18.134Z,TRUE,FALSE,FALSE,TRUE,14,2,3,3,678685,Victor Mascai,/api/v1/people/678685,L,Left,695243,Mason Miller,/api/v1/people/695243,R,Right,vs_RHP,vs_LHB,Empty,NA,Brazil,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,United States,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Brazil,United States,false,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,100.5,91.2,11,0.91,0.3753,6.7981,36.5887,-10.1661,-1.4394,10.2186,-0.0833,4.5766,4.9401,-146.2916,-3.3048,-1.6116,50.0013,6.3367000000000004,-3.101,9.6,2.4,24,2449,208,NA,NA,NA,NA,NA,NA,FALSE,17,8.5,-9.2,18,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788128,2026-03-07,2,2026-03-07T04:39:34.880Z,2026-03-07T04:39:39.569Z,TRUE,pitch,ae6a7812-26bc-38cc-b188-7a4053180b79,3,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,1,2,2,NA,NA,3.299,1.665,NA,89.73,191.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,atBat,Strikeout,strikeout,Victor Mascai called out on strikes.,0,15,5,88,bottom,9,2026-03-07T04:38:54.726Z,2026-03-07T04:40:18.134Z,TRUE,FALSE,FALSE,TRUE,14,2,3,3,678685,Victor Mascai,/api/v1/people/678685,L,Left,695243,Mason Miller,/api/v1/people/695243,R,Right,vs_RHP,vs_LHB,Empty,NA,Brazil,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,United States,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Brazil,United States,false,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,101.6,92.7,9,0.91,0.372,6.9219,35.9066,-9.1075,-1.9745,10.5124,0.7153,1.7465,7.1279,-147.3737,-11.2931,-1.4808,50.0002,6.1716,-4.3328,13.2,2.4,24,2462,203,NA,NA,NA,NA,NA,NA,FALSE,17,8.5,-9.8,16.9,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788128,2026-03-07,1,2026-03-07T04:39:18.377Z,2026-03-07T04:39:22.894Z,TRUE,pitch,1fbae582-3397-3173-9c9a-690ee6295449,2,Swinging Strike,NA,NA,NA,NA,FALSE,S,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,S,Swinging Strike,0,2,2,NA,NA,3.299,1.665,NA,110.18,164.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,atBat,Strikeout,strikeout,Victor Mascai called out on strikes.,0,15,5,88,bottom,9,2026-03-07T04:38:54.726Z,2026-03-07T04:40:18.134Z,TRUE,FALSE,FALSE,TRUE,14,2,3,3,678685,Victor Mascai,/api/v1/people/678685,L,Left,695243,Mason Miller,/api/v1/people/695243,R,Right,vs_RHP,vs_LHB,Empty,NA,Brazil,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,United States,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Brazil,United States,false,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,100.3,91.5,5,0.91,0.376,6.8723,35.1388,-9.9572,-2.5541,10.343,0.1789,2.768,6.1011,-145.8177,-8.2205,-1.6111,50.0008,6.2288,-5.4859,19.2,2.4,24,2378,205,NA,NA,NA,NA,NA,NA,FALSE,17,8.5,-10.1,17.2,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788128,2026-03-07,0,2026-03-07T04:39:02.140Z,2026-03-07T04:39:06.874Z,TRUE,pitch,572f1b1b-46c0-3d29-be8d-e15e3e30c734,1,Called Strike,NA,NA,NA,NA,FALSE,C,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,C,Called Strike,0,1,2,NA,NA,3.299,1.665,NA,134.19,183.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,atBat,Strikeout,strikeout,Victor Mascai called out on strikes.,0,15,5,88,bottom,9,2026-03-07T04:38:54.726Z,2026-03-07T04:40:18.134Z,TRUE,FALSE,FALSE,TRUE,14,2,3,3,678685,Victor Mascai,/api/v1/people/678685,L,Left,695243,Mason Miller,/api/v1/people/695243,R,Right,vs_RHP,vs_LHB,Empty,NA,Brazil,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,United States,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Brazil,United States,false,NA,"rgba(0, 0, 254, 1.0)",SL,Slider,86.9,79.7,7,0.9,0.4339,6.8403,27.512,-32.1683,7.4348,0.0072,-0.4509,2.0472,1.0329,-126.564,-3.9765,-1.8305,50.006100000000004,6.2347,11.9792,20.4,8.4,24,2399,33,NA,NA,NA,NA,NA,NA,FALSE,17,8.5,-37.1,-0.7,-13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
788128,2026-03-07,6,2026-03-07T04:38:36.135Z,2026-03-07T04:38:42.733Z,TRUE,pitch,c34253a3-fa88-3d50-9443-fb9f8e1265b6,6,Swinging Strike,NA,NA,NA,NA,FALSE,S,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,S,Swinging Strike,3,3,1,NA,NA,2.943,1.485,NA,105.94,212.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,atBat,Strikeout,strikeout,Lucas Rojo strikes out swinging.,0,15,5,87,bottom,9,2026-03-07T04:36:49.870Z,2026-03-07T04:38:42.733Z,TRUE,FALSE,FALSE,TRUE,14,3,3,2,624531,Lucas Rojo,/api/v1/people/624531,R,Right,695243,Mason Miller,/api/v1/people/695243,R,Right,vs_RHP,vs_RHB,Men_On,NA,Brazil,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,United States,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Brazil,United States,NA,NA,"rgba(0, 0, 254, 1.0)",SL,Slider,87.8,80.2,14,0.9,0.4317,6.9467,29.8711,-34.0401,5.3401,-1.1471,0.2902,0.9617,3.2804,-127.6106,-6.2428,-1.712,50.0029,6.1699,8.6775,14.4,9.6,24,2369,39,NA,NA,NA,NA,NA,NA,TRUE,17,8.5,-39.4,-3.5,-10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,806889,Felipe Koragi,/api/v1/people/806889,NA,NA,NA,NA,NA,NA
788128,2026-03-07,4,2026-03-07T04:38:07.061Z,2026-03-07T04:38:11.561Z,TRUE,pitch,51fa0492-292d-3be8-9e7d-e9c3004a7999,5,Foul,NA,NA,NA,NA,FALSE,F,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,F,Foul,3,2,1,NA,NA,2.943,1.485,NA,102.06,143.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,atBat,Strikeout,strikeout,Lucas Rojo strikes out swinging.,0,15,5,87,bottom,9,2026-03-07T04:36:49.870Z,2026-03-07T04:38:42.733Z,TRUE,FALSE,FALSE,TRUE,14,3,3,2,624531,Lucas Rojo,/api/v1/people/624531,R,Right,695243,Mason Miller,/api/v1/people/695243,R,Right,vs_RHP,vs_RHB,Men_On,NA,Brazil,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,United States,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Brazil,United States,NA,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,99.5,91,12,0.91,0.3783,6.8317,33.1923,-11.4976,-2.2565,9.7369,0.3919,3.5355,6.0552,-144.6841,-6.0074,-1.4333,50.0051,6.3407,-4.7929,14.4,2.4,24,2464,197,NA,NA,NA,NA,NA,NA,FALSE,17,8.5,-11,16.7,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,806889,Felipe Koragi,/api/v1/people/806889,NA,NA,NA,NA,NA,NA
788128,2026-03-07,3,2026-03-07T04:37:51.833Z,2026-03-07T04:37:56.011Z,TRUE,pitch,5112b231-6be7-37c9-a307-27c431b1b28f,4,Called Strike,NA,NA,NA,NA,FALSE,C,"rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,C,Called Strike,3,1,1,NA,NA,2.943,1.485,NA,126.84,158.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,atBat,Strikeout,strikeout,Lucas Rojo strikes out swinging.,0,15,5,87,bottom,9,2026-03-07T04:36:49.870Z,2026-03-07T04:38:42.733Z,TRUE,FALSE,FALSE,TRUE,14,3,3,2,624531,Lucas Rojo,/api/v1/people/624531,R,Right,695243,Mason Miller,/api/v1/people/695243,R,Right,vs_RHP,vs_RHB,Men_On,NA,Brazil,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,United States,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Brazil,United States,NA,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,100.1,91.6,2,0.91,0.376,6.75,33.7116,-9.476,-3.39,10.5555,-0.2581,2.9675,5.2471,-145.6022,-7.8488,-1.6418,50.001,6.269,-7.289,28.8,2.4,24,2563,200,NA,NA,NA,NA,NA,NA,FALSE,17,8.5,-9.5,17.8,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,806889,Felipe Koragi,/api/v1/people/806889,NA,NA,NA,NA,NA,NA
788128,2026-03-07,2,2026-03-07T04:37:34.633Z,2026-03-07T04:37:38.952Z,TRUE,pitch,6b70fba7-d832-394b-ad7c-da87a836eed7,3,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,3,0,1,NA,NA,2.943,1.485,NA,83.88,169.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,atBat,Strikeout,strikeout,Lucas Rojo strikes out swinging.,0,15,5,87,bottom,9,2026-03-07T04:36:49.870Z,2026-03-07T04:38:42.733Z,TRUE,FALSE,FALSE,TRUE,14,3,3,2,624531,Lucas Rojo,/api/v1/people/624531,R,Right,695243,Mason Miller,/api/v1/people/695243,R,Right,vs_RHP,vs_RHB,Men_On,NA,Brazil,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,United States,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Brazil,United States,NA,NA,"rgba(188, 0, 33, 1.0)",FF,Four-Seam Fastball,100,91.6,12,0.91,0.3767,6.9237,33.1257,-9.8423,-3.9874,10.4253,0.8688,2.57,8.1849,-145.2388,-8.9276,-1.4642,50.0042,6.2772,-8.5429,30,2.4,24,2553,207,NA,NA,NA,NA,NA,NA,FALSE,17,8.5,-10.1,17.3,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,806889,Felipe Koragi,/api/v1/people/806889,NA,NA,NA,NA,NA,NA
788128,2026-03-07,1,2026-03-07T04:37:18.448Z,2026-03-07T04:37:22.803Z,TRUE,pitch,096e0f4b-65a9-3266-b42c-2002a46ad55d,2,Ball,NA,NA,NA,NA,FALSE,B,"rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,B,Ball,2,0,1,NA,NA,2.943,1.485,NA,103.69,212.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,atBat,Strikeout,strikeout,Lucas Rojo strikes out swinging.,0,15,5,87,bottom,9,2026-03-07T04:36:49.870Z,2026-03-07T04:38:42.733Z,TRUE,FALSE,FALSE,TRUE,14,3,3,2,624531,Lucas Rojo,/api/v1/people/624531,R,Right,695243,Mason Miller,/api/v1/people/695243,R,Right,vs_RHP,vs_RHB,Men_On,NA,Brazil,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,United States,51,International Baseball,11,Office of the Commissioner,160,World Baseball Classic,Brazil,United States,NA,NA,"rgba(0, 0, 254, 1.0)",SL,Slider,87.3,80.5,14,0.9,0.4317,7.0729,26.9893,-33.5228,3.2445,-0.8296,0.3492,0.9652,4.0021,-127.0732,-6.3047,-1.6699,50.0017,6.1544,5.2845,9.6,8.4,24,2363,33,NA,NA,NA,NA,NA,NA,FALSE,17,8.5,-38.8,-2.8,-6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,806889,Felipe Koragi,/api/v1/people/806889,NA,NA,NA,NA,NA,NA
